colorname,desc2,description,fit,fitinfo,fulldescription,itemid,name,url,Classification
['Blue Smoke'],[],"[""This lightweight, ventilated version of the best-selling Moab trail hiker features less volume in the forefoot for a more athletic fit. It's also equipped with a grippier outsole that excels in both wet and dry conditions.""]",[],['Order regular shoe size.'],"[""This lightweight, ventilated version of the best-selling Moab trail hiker features less volume in the forefoot for a more athletic fit. It's also equipped with a grippier outsole that excels in both wet and dry conditions."", 'Size & Fit', 'Order regular shoe size.', 'Specs', 'Approx. weight: 1 lb. 7 oz. per pair.', 'Construction', 'Lightweight nubuck leather and mesh upper.', 'Traditional lace closure and bellows tongue help keep debris on the trail and out of your shoes.', 'Vibram MegaGrip outsole offers the best combo of traction and durability on wet and dry surfaces.', '5 mm lugs help you grip uneven terrain.', 'Kinetic Fit removable contoured footbed provides flexible support and cushioning.', 'Merrell Air Cushion in the heel for shock absorption and stability.', 'Midsoles are lighter weight than previous versions of the Moab, helping you stay light on your feet.', 'Metal hooks and lacing eyelets ensure secure fit.', 'Imported.', 'Questions?', 'Chat with an Expert']",['309665'],Women's Merrell Moab FST 2 Ventilated Hiking Shoes,https://www.llbean.com/llb/shop/122324?page=women-s-merrell-moab-fst-2-ventilated-hiking-shoes&bc=474-630-506708&feat=506708-gn2&csp=f&attrvalue_0=blue%20smoke,Shoes
"['Black', 'Stop']",[],"['Keep fresh, cool and comfortable in easy-care, quick-drying boxer briefs.']",[],[],"['Keep fresh, cool and comfortable in easy-care, quick-drying boxer briefs.', 'Fabric & Care', 'Moisture-wicking blend of 92% nylon/8% spandex.', 'Secondary fabric is 94% nylon/6% spandex.', 'Machine wash cold, tumble dry low or line dry in the shade.', 'Additional Features', 'Provide ideal support during high-energy activities.', 'Breathable ultralight fabric dries quickly.', 'Antimicrobial treatment offers maximum odor protection.', 'Flatlock seams and smooth waistband for comfort.', 'Imported.', 'Questions?', 'Chat with an Expert']",['298499'],"Men's ExOfficio Give-N-Go Mesh Boxer Brief, 6"" Inseam",https://www.llbean.com/llb/shop/90467?page=men-s-exofficio-give-n-go-mesh-boxer-brief-6-inseam&bc=29-507929-507932&feat=507932-gn1&csp=f&attrvalue_0=black,Underwear
['Brown/Brown'],[],"['With waterproof leather outside and soft, plush shearling inside, our lined L.L.Bean Boots are very possibly the coolest, warmest boots ever. Handcrafted right here in Maine.']",[],"['Midweight socks: Whole sizes, order normally. Half sizes, order 1 size up. 9, order 9. 9½, order 10.', 'Heavyweight socks: Whole sizes, order one size up. Half sizes, order up. 9 or 9½, order size 10.', 'Half sizes order down.']","['With waterproof leather outside and soft, plush shearling inside, our lined L.L.Bean Boots are very possibly the coolest, warmest boots ever. Handcrafted right here in Maine.', 'Light activity: to 25°  Moderate activity: to -20°', 'about comfort ratings', 'Size & Fit', 'Midweight socks: Whole sizes, order normally. Half sizes, order 1 size up. 9, order 9. 9½, order 10.', 'Heavyweight socks: Whole sizes, order one size up. Half sizes, order up. 9 or 9½, order size 10.', 'Half sizes order down.', 'Why We Love Them', ""Introduced in 1912 for walking the wet, muddy Maine woods, our Men's duck boots have been appreciated for their superior functionality for over 100 years. Today, they're still customer favorites for cool, wet weather."", 'Video: One Minute on L.L.Bean Boot Care', 'Construction', 'Made from premium full-grain leather that sheds rain and snow.', 'Upper is lined with genuine natural sheepskin shearling.', 'Supportive steel shank and our original rubber chain-tread bottom.', 'Boot bottom is lined with 200-gram Thinsulate™ Insulation.', 'Triple-stitched for durability.', 'Additional Features', 'Our signature boots are still sewn right here in Maine and have stood the test of time.', 'Genuine shearling lamb fur is dyed and treated.', 'Made in Maine.', 'Questions?', 'Chat with an Expert']",['230122'],"Men's L.L. Bean Boots, 10"" Shearling-Lined",https://www.llbean.com/llb/shop/43351?page=men-s-l-l-bean-boots-10-shearling-lined&bc=511171-508401-511065&feat=511065-gn3&csp=a&attrvalue_0=brown/brown,Boots
"['Bright Navy', 'Cayenne', 'Charcoal Gray Heather', 'Clay Heather', 'Grey Heather', 'Kelp Green', 'Rustic Blue', 'Deep Mustard']","[""Our customers (and employees) love the rugged construction and heritage-inspired styling of our popular Sweater Fleece Jacket and wear it for absolutely everything. From high-intensity activities to everyday tasks, you'll find yourself reaching for it every time.""]",['The ultimate sweater fleece - made from superior fabric and offered at an unbeatable price.'],['Slightly Fitted.'],"['Slightly Fitted: Relaxed through the chest and sleeve, with a slightly slimmer waist.']","['The ultimate sweater fleece - made from superior fabric and offered at an unbeatable price.', 'Size & Fit', 'Slightly Fitted: Relaxed through the chest and sleeve, with a slightly slimmer waist.', 'Why We Love It', ""Our customers (and employees) love the rugged construction and heritage-inspired styling of our popular Sweater Fleece Jacket and wear it for absolutely everything. From high-intensity activities to everyday tasks, you'll find yourself reaching for it every time."", 'Fabric & Care', 'Rugged sweater-knit exterior and soft brushed interior for exceptional warmth and comfort.', 'Made from soft, 100% polyester fleece.', 'Machine wash and dry.', 'Additional Features', 'Features our classic Mount Katahdin logo.', 'Wind flap at zipper seals out cold air.', 'Front zip hand warmer pockets.', 'Zippered pocket on chest.', 'Cuffs and hem reinforced with jersey binding.', 'Imported.', 'Questions?', 'Chat with an Expert']",[],Men's L.L.Bean Sweater Fleece Full-Zip Jacket,https://www.llbean.com/llb/shop/120785?page=l-l-bean-sweater-fleece-full-zip-jacket&bc=516720&feat=516720-gn0&csp=a,Jackets
['Cream'],[],"[""The perfect complement to any summertime style – this Sunday Afternoons fedora hat offers UPF 50+ protection and won't crunch or bend during your travels.""]",[],[],"[""The perfect complement to any summertime style – this Sunday Afternoons fedora hat offers UPF 50+ protection and won't crunch or bend during your travels."", 'Fabric & Care', '90% paper, 10% polyester.', 'Avoid rain and wet conditions.', 'UPF 50+ rated – the highest rated sun protection possible.', 'Spot clean.', 'Construction', '2½"" wide brim.', 'Internal sweatband to keep you cool and comfortable.', 'Additional Features', 'Packable convenience for travel.', 'Imported.', 'Questions?', 'Chat with an Expert', '     #sun-protect {         background-color: #F7F7F7;         height: 135px;         margin-bottom: 20px;     }     #sun-protect img {         float: left;         margin: 17px 0 0 45px;         width: 80px;         height: auto;     }     #sun-protect p:first-of-type {         display: inline-block;         margin: 30px 0 0 40px;         line-height: 20px;     }     #sun-protect p:last-of-type {         display: inline-block;         line-height: 20px;         margin-left: 40px;         width: 53%;     }     @media only screen and (min-device-width:768px) and (max-device-width:1024px) and (orientation:portrait) {         #sun-protect {             height: 84px;             margin-top: 55px;         }         #sun-protect img {             width: 17%;             margin: 14px 0 0 20px;         }         #sun-protect p {             line-height: 12px !important;             font-size: 9px !important;             display: block !important;         }         #sun-protect p:first-of-type {             margin: -39px 0px 0px 80px !important;             padding-top: 19px !important;         }         #sun-protect p:last-of-type {             margin-left: 80px !important;             width: 60% !important;         }     }     @media only screen and (min-device-width:768px) and (max-device-width:1024px) and (orientation:landscape) {         #sun-protect p {             font-size: 11px;         }         #sun-protect img {             margin: 17px 0 0 25px !important;         }     } ', ""Sun Protection That Won't Wear Off"", ""Our high-performance fabric provides SPF 50+ sun protection, blocking 98% of the sun's harmful rays.""]",['305010'],Sunday Afternoons Havana Hat,https://www.llbean.com/llb/shop/117035?page=sunday-afternoons-havana-hat&bc=514950&feat=514950-gn1&csp=a&attrvalue_0=cream,Headwear
"['Atomic Blue/Navy Blazer', 'Azalea/Aruba Blue', 'Black/Flame']","[""Featuring the same design details as the adult version, the Mini M.U.L.E. CamelBak Hydration pack provides plenty of water capacity for day hikes or rides – and just the right amount of storage space for essentials. Made with padded shoulder straps and a back panel lined with breathable mesh, this versatile hydration pack is just right for the road, trail or single track. The Crux reservoir features a a flow rate that's 20 times greater than competitors' and is easy to clean.""]","[""Designed after CamelBak's most popular adult hydration pack, the Mini M.U.L.E. hydration pack measures up to your kids’ trail hydration needs—and your highest expectations.""]",[],[],"[""Designed after CamelBak's most popular adult hydration pack, the Mini M.U.L.E. hydration pack measures up to your kids’ trail hydration needs—and your highest expectations."", 'Specs', 'Capacity: Approx. 153 cu. in. 3 L.', 'Fits torso: 12"" to 16"".', 'Weight: 7.7 oz.', 'Dimensions: 13""H x 6""W x 4 ½""D.', 'Why We Love It', ""Featuring the same design details as the adult version, the Mini M.U.L.E. CamelBak Hydration pack provides plenty of water capacity for day hikes or rides – and just the right amount of storage space for essentials. Made with padded shoulder straps and a back panel lined with breathable mesh, this versatile hydration pack is just right for the road, trail or single track. The Crux reservoir features a a flow rate that's 20 times greater than competitors' and is easy to clean."", 'Construction', 'Pack body made from 200D plain weave polyester and 210-denier nylon.', 'Padded shoulder straps and back panel lined with moisture-wicking mesh.', 'Antimicrobial reservoir lining prevents bad odors and tastes.', '50 oz. Crux reservoir.', 'Additional Features', 'Adult performance in a kids’-sized hydration pack.', 'Quick Link System allows easy tube removal for cleaning or reservoir access.', 'Storage space provides room for snacks and other essentials.', 'Large fill cap tightens with a quarter turn and allows easy filling and cleaning.', 'Back panel is channeled for increased airflow.', 'Sternum strap and waist belt enhance stability and balance.', 'Reflective trim enhances low-light visibility.', 'Imported.', 'Questions?', 'Chat with an Expert']",['305386'],Kids' Camelbak Mini MULE Hydration Pack,https://www.llbean.com/llb/shop/117639?page=kids-camelbak-mini-mule-hydration-pack&bc=29-915&feat=915-gn0&csp=f,Bags
"['Matte Black/Polar Blue Mirror', 'Matte Tortoise/Polar Brown']",[],"['Similar to the Smith Survey, the Forge polarized sunglasses are made for fishermen with large faces. The taller lens shape and thicker temples provide additional sun protection, great for fishermen who spend a lot of time on the water.']",[],[],"['Similar to the Smith Survey, the Forge polarized sunglasses are made for fishermen with large faces. The taller lens shape and thicker temples provide additional sun protection, great for fishermen who spend a lot of time on the water.', 'Construction', 'Carbonic polarized lenses are optically tuned to give you visual comfort and impact resistance.', '100% UV protection, and feature a water- and oil-resistant coating.', 'Lightweight, durable Evolve frame is over 53% renewable plant material.', 'Auto-lock hinges, and hydrophilic megol nose and temple pads for a secure fit.', 'Additional Features', 'Fit large faces best.', 'Imported.', 'Questions?', 'Chat with an Expert']",['310112'],Smith Forge Carbonic Polarized Fishing Sunglasses,https://www.llbean.com/llb/shop/122620?page=smith-forge-carbonic-polarized-fishing-sunglasses&bc=511742&feat=511742-gn0&csp=a,Sunglasses
"['Gray', 'Indigo']",[],"['Bring light, texture and classic style to any space with this coast-inspired striped ceramic table lamp.']",[],[],"['Bring light, texture and classic style to any space with this coast-inspired striped ceramic table lamp.', 'Specs', 'Overall height with shade: 28"".', 'Base', 'Dimensions: 16""H X 8""W X 8""D.', 'Shade', 'Dimensions: 11""H X 14"" diam. at top; 17"" diam. at bottom.', 'Construction', 'Glazed ceramic base with fabric shade.', 'Additional Features', 'Three-way switch, UL Listed.', 'Operates with one bulb, up to 150 watts.', 'Assembly required.', ""We're sorry, this item is currently unavailable to ship to California."", 'Made in the USA, components USA and imported.', 'Questions?', 'Chat with an Expert']",['504618'],"Portland Ceramic Lamp, Stripe",https://www.llbean.com/llb/shop/120432?page=portland-ceramic-lamp-stripe&bc=32-508925-508932&feat=508932-gn3&csp=s,Lamps
"['Grey', 'Teal', 'Yellow']",[],"['With proprietary 3D SlimFit Construction, a front profile of only 9mm and weighing only 2.4 oz., this bright headlamp sits comfortably on your forehead without bouncing or slipping.']",[],[],"['With proprietary 3D SlimFit Construction, a front profile of only 9mm and weighing only 2.4 oz., this bright headlamp sits comfortably on your forehead without bouncing or slipping.', 'Specs', 'Weight: 2.43 oz.', 'Burn time: Up to 40 hours on low, 3.5 hours on high.', 'Beam distance: 16 meters in flood mode; 75 meters in spot mode.', 'Construction', 'Moisture-wicking strap fabric keeps you cool and dry.', 'Reflective strip enhances visibility from behind.', 'Additional Features', 'Equipped with a long-lasting, sustainable rechargeable battery.', 'Puts out a super-bright 330 lumens.', 'Four modes: white flood, white spot, red flood and white strobe.', 'Red night vision mode included.', 'Articulating front bezel lets you angle the light where you need it.', 'Recharge via micro USB; charging cable included.', 'Easy-adjust clips recharge via micro-USB.', 'Battery level indicator LEDs let you monitor the power level.', 'Imported.', 'Questions?', 'Chat with an Expert']",['310180'],BioLite Headlamp 330,https://www.llbean.com/llb/shop/122654?page=biolite-headlamp-330&bc=29-915&feat=915-gn0&csp=f,Portable Lights
['Petal'],[],['Our built-in fabric technology traps your body heat and keeps you up to 7 degrees warmer—for comfort as the days and months get colder.'],[],[],"['Our built-in fabric technology traps your body heat and keeps you up to 7 degrees warmer—for comfort as the days and months get colder.', 'Fabric & Care', '48% acrylic/28% Tencel/19% polyester/5% spandex.', 'Machine wash and dry.', 'Additional Features', 'The advanced fabric traps body moisture, transforming it into heat, even while sitting still.', 'Perfect for casual warmth and everyday wear while running errands, walking the dog or snow blowing.', 'Trim-fitting and ultra-soft, perfect for wear under clothing or on their own.', 'Imported.', 'Questions?', 'Chat with an Expert']",['290943'],"Heat Keepers Everyday Underwear, Scoopneck Print",https://www.llbean.com/llb/shop/83451?page=heat-keepers-everyday-underwear-scoopneck-print&bc=514949&feat=514949-gn1&csp=a&attrvalue_0=petal,Underwear
['Bright Sapphire'],[],"['With ski-inspired style and a toasty, fleece-lined earband, staying warm on the slopes has never looked cooler.']",[],[],"['With ski-inspired style and a toasty, fleece-lined earband, staying warm on the slopes has never looked cooler.', 'Fabric & Care', 'Knit from soft, chunky acrylic yarns.', 'Polyester fleece lining on the ear band provides additional warmth.', 'Machine wash and dry.', 'Additional Features', ""This kids' winter hat pairs with our Mogul Jumper Jacket and Pants to top off the look."", 'Imported.', 'Questions?', 'Chat with an Expert']",['500433'],Kids' Mogul Jumper Hat,https://www.llbean.com/llb/shop/113306?page=kids-mogul-jumper-hat&bc=32-516686-503676-510023&feat=510023-gn3&csp=s&attrvalue_1=medium/large&attrvalue_0=bright%20sapphire,Headwear
['Marine Blue'],[],['This comfortable camp chair is easy to set up and packs down small for transport and storage.'],[],[],"['This comfortable camp chair is easy to set up and packs down small for transport and storage.', 'Specs', 'Capacity: 225 lb.', 'Weight: 6 lb. 13 oz.', 'Seat Height: 9"" from ground.', 'Construction', 'Super tough 600-denier polyester seat has a breathable nylon mesh center that keeps you cool.', 'Tough frame is made from powder-coated steel.', 'Additional Features', 'Conveniently folds flat for storage and transport.', 'Includes carry bag.', 'Imported.', 'Questions?', 'Chat with an Expert']",['287393'],Low Rider Camp Chair,https://www.llbean.com/llb/shop/80880?page=low-rider-camp-chair&bc=29-516713-9967&feat=9967-gn1&csp=f&attrvalue_0=marine%20blue,Chairs
['Red'],[],"['This pair of water-resistant, remote-controlled heated insoles features thermal technology engineered to keep your feet warm, not hot, to avoid sweating and freezing.']",[],['Thickness at toe: 5 mm. Thickness at heel: 13 mm.'],"['This pair of water-resistant, remote-controlled heated insoles features thermal technology engineered to keep your feet warm, not hot, to avoid sweating and freezing.', 'Size & Fit', 'Thickness at toe: 5 mm. Thickness at heel: 13 mm.', 'Additional Features', 'Choose from three temps with remote control: High, Medium and No Heat for up to five hours/charge.', 'No Heat setting conserves battery life when active or indoors.', 'Comes with a drawstring bag, charger and wireless remote control with lanyard.', 'Imported.', 'Questions?', 'Chat with an Expert']",['285178'],Thermacell Heated Insoles,https://www.llbean.com/llb/shop/80185?page=thermacell-heated-insoles&bc=474-629-514536-514538&feat=514538-gn3&csp=f&attrvalue_1=small&attrvalue_0=red,Footwear Accessories
"['Dark Slate Gray', 'Raisin Brown', 'Black Slate Marl']",[],['An ultracozy take on the classic ragg sweater. We created this swing sweater from beautifully marled cotton with linen for amazing texture.'],[],"['Slightly Fitted: Softly shapes the body.', 'Falls at high hip.']","['An ultracozy take on the classic ragg sweater. We created this swing sweater from beautifully marled cotton with linen for amazing texture.', 'Size & Fit', 'Slightly Fitted: Softly shapes the body.', 'Falls at high hip.', 'Fabric & Care', 'In a midweight blend of 71% cotton and 29% linen.', 'Machine wash, dry flat.', 'Additional Features', 'Flattering a-line silhouette is slightly fitted at the shoulders and relaxed at the hem.', 'Ribbed collar and cuffs.', 'Side slits add ease.', 'Imported.', 'Questions?', 'Chat with an Expert']",['506288'],Signature Cotton/Linen Ragg Crewneck Sweater,https://www.llbean.com/llb/shop/122163?page=signature-cotton-linen-ragg-crewneck-sweater&bc=32-508925-516680&feat=516680-gn2&csp=s,Jackets
"['Black', 'Nautical Navy']",[],"['Our best-value down vest—packed with ultralight 650-fill DownTek for warmth and protection, even when wet.']",[],"['Slightly Fitted.', 'Best with midweight layer.', 'Falls at hip.']","['Our best-value down vest—packed with ultralight 650-fill DownTek for warmth and protection, even when wet.', 'Size & Fit', 'Slightly Fitted.', 'Best with midweight layer.', 'Falls at hip.', 'The Technology', 'This down vest features game-changing Bean Tested® DownTek™ insulation that does what other down can’t – keep you warm, even in wet conditions. Unlike ordinary down that soaks up moisture and clumps together, losing virtually all of its warming power, this innovative, specially coated DownTek™ absorbs 33% less moisture and dries 66% faster so it says light, lofty and warm longer.', 'Fabric & Care', '650-fill DownTek down insulation repels moisture and provides exceptional warmth.', 'Shell and lining made from 100% recycled polyester, ensuring minimal impact on the environment.', 'Machine wash and dry.', 'Additional Features', 'Stand collar.', 'Full zip with snaps on storm flap.', 'Our classic Mt. Katahdin logo.', 'Internal zip pocket.', 'Two lower hand snap pockets with security zipper pockets behind them.', 'Open hem with two adjustable drawcords.', 'Imported.', 'Questions?', 'Chat with an Expert']",[],Men's Mountain Classic Down Vest,https://www.llbean.com/llb/shop/121492?page=men-s-mountain-classic-down-vest&bc=513087&feat=513087-gn1&csp=a,Vests
[],[],"['This unique bundle includes the wood-burning BioLite Camp Stove 2, Portable Grill, Kettle Pot with CoffeePress and the FlexLight USB Lantern.']",[],[],"['This unique bundle includes the wood-burning BioLite Camp Stove 2, Portable Grill, Kettle Pot with CoffeePress and the FlexLight USB Lantern.', 'Specs', 'Camp stove', 'Weight: 33 oz.', 'Dimensions: 8.25"" x 5"".', 'Boil time: 4.5 minutes to boil 1 liter of water. Boiling times vary by strength of fire.', 'KettlePot', 'Weight: 16 oz.', 'Dimensions: 10.20"" x 5.20"".', 'Grill', 'Weight: 30 oz.', 'Dimensions: 9.5""L x 12""W x 3.5""D.', 'CoffeePress', 'Weight: 2.8 oz.', 'FlexLight', 'Lumens: 100.', 'Additional Features', 'The heat from the fire is used to charge an integrated 2600 mAh battery.', 'You can then use the battery to charge devices like a phone or GPS.', 'Smart LED Dashboard provides instant feedback on fire strength, power output and fan speed settings.', 'Portable grill fits up to four burgers or six hot dogs.', 'KettlePot pours like a kettle and cooks like a pot and doubles as a carrying case for the stove.', 'Use the CoffeePress with the KettlePot to make 6 cups of coffee.', 'CoffeePress pull handle unscrews so you pack the entire unit inside the KettlePot.', 'FlexLight features a pliable USB gooseneck for quick, controlled light.', 'FlexLight can be powered by the stove in the field or by USB at home.', 'Imported.', 'Questions?', 'Chat with an Expert']",['307666'],BioLite Camp Stove 2 Bundle with Coffee Press,https://www.llbean.com/llb/shop/120688?page=biolite-camp-stove-2-bundle-with-coffee-press&bc=29-915&feat=915-gn0&csp=f,Stoves
['Classic Black'],[],"['Our most durable, water-resistant work shirt—now in a more streamlined fit.']",['Slightly Fitted.'],"['Slightly Fitted: Relaxed through the chest and sleeve, with a slightly slimmer waist.']","['Our most durable, water-resistant work shirt—now in a more streamlined fit.', 'Size & Fit', 'Slightly Fitted: Relaxed through the chest and sleeve, with a slightly slimmer waist.', 'Katahdin Iron Works ', 'Located in  the north woods of Maine, adjacent to the Appalachian Trail, Katahdin Iron Works was  built in 1843 and operated until 1890, when advances in steel manufacturing made it  obsolete. At its peak, the Iron Works produced 18 to 20 tons of pig iron a day and  employed 400 men just to cut the 20,000 cords of wood needed to fire the blast  furnace.', 'Inspired by these hardworking Mainers, we designed our Katahdin Iron Works  line of rugged work clothes to stand up to all kinds of rough use. Today, visitors to  the site can view the historic blast furnace and one of the original charcoal kilns,  silent reminders of a time when fires burned nonstop amid a thriving community of  Maine workers. Learn more at ', 'maine.gov', '.', 'Fabric & Care', ""Heavy-duty 9 oz. Nor'easter cotton canvas shell."", 'Plush 7 oz. polyester fleece lining.', 'Machine wash and dry.', 'Additional Features', 'Seams are triple-needle-stitched for durability.', 'Snap-close front for easy on/off without removing your gloves.', 'Two chest pockets with snap closures.', 'Adjustable cuffs.', 'Velcro closure security pockets hidden inside side pockets.', 'Imported.', 'Questions?', 'Chat with an Expert']",[],Katahdin Iron Works Fleece-Lined Canvas Shirt,https://www.llbean.com/llb/shop/90115?page=katahdin-iron-works-fleece-lined-canvas-shirt&bc=516720&feat=516720-gn0&csp=a&attrvalue_1=medium&attrvalue_0=classic%20black,Shirts
['Dark Orchid'],[],"['Classic, versatile styling in premium Italian wool, exclusive to L.L.Bean.']",[],[],"['Classic, versatile styling in premium Italian wool, exclusive to L.L.Bean.', 'Light activity: to 50°  Moderate activity: to 0°', 'about comfort ratings', 'Fabric & Care', '100% wool knit crepe.', 'Dry clean.', 'Additional Features', 'Keeps rich texture for years.', 'Deep shades do not fade over time.', 'Stand collar.', 'Hidden full-button placket and zippered security pocket.', 'Unlined with finished seams.', 'Imported.', 'Questions?', 'Chat with an Expert']",[],L.L.Bean Boiled Wool Coat,https://www.llbean.com/llb/shop/88143?page=l-l-bean-boiled-wool-coat&bc=32-516686-302&feat=302-gn2&csp=s&attrvalue_0=dark%20orchid,Jackets
['Multi Combo'],[],"['An L.L.Bean Signature exclusive, these colorblocked sandals are an absolutely beautiful – and incredibly comfortable – addition to your warm-weather wardrobe.']",[],['Half sizes order up.'],"['An L.L.Bean Signature exclusive, these colorblocked sandals are an absolutely beautiful – and incredibly comfortable – addition to your warm-weather wardrobe.', 'Size & Fit', 'Half sizes order up.', 'Specs', 'Heel height: 14.5mm.', 'Why We Love Them', 'Since 1953, Kork-Ease has built iconic footwear – legendary for its exceptional comfort, sturdy craftsmanship and simple yet eye-catching style.', 'Construction', 'Fine Italian leather upper is beautifully tumbled, vegetable tanned and finished by hand.', ""Features Kork-Ease's 2.0 Comfort Technology with inner foam cushions and outer foam supports."", 'Leather sock lining.', 'Rubber outsole.', 'Imported.', 'Questions?', 'Chat with an Expert']",['307496'],Yucca Flat Sandals by Kork-Ease,https://www.llbean.com/llb/shop/120614?page=yucca-flat-sandals-by-kork-ease&bc=32-516689-6715&feat=6715-gn2&csp=s&attrvalue_0=multi%20combo,Shoes
"['Dark Indigo', 'Emerald Spruce', 'Fig', 'Vintage Plum', 'Bright Navy']","[""Made from 100% organic cotton, our organic flannel tunic is a better choice for you and the planet. And when it comes to comfort, we think it's a natural as well.""]",['Our most rugged flannel shirt is also one of the softest - double brushed for an exceptional feel. Made from heavyweight organic cotton in a flattering longer length.'],[],"['Relaxed Fit: Our most generous fit sits farthest from the body.', 'Falls at thigh.']","['Our most rugged flannel shirt is also one of the softest - double brushed for an exceptional feel. Made from heavyweight organic cotton in a flattering longer length.', 'Size & Fit', 'Relaxed Fit: Our most generous fit sits farthest from the body.', 'Falls at thigh.', 'Why We Love It', ""Made from 100% organic cotton, our organic flannel tunic is a better choice for you and the planet. And when it comes to comfort, we think it's a natural as well."", 'Fabric & Care', 'In pure cotton – organically sourced and 100% certified.', 'Machine wash and dry.', 'Additional Features', 'Front patch chest pocket.', 'Flattering tunic length.', 'Center back pleat for ease.', 'Imported.', 'Questions?', 'Chat with an Expert']",[],"L.L.Bean Organic Flannel Tunic, Plaid",https://www.llbean.com/llb/shop/121606?page=l-l-bean-organic-flannel-tunic-plaid&bc=32-516686-302&feat=302-gn2&csp=s,Shirts
"['Dark Olive', 'Dark Red']",[],"['Our traditional ragg wool hat is thickly knit from soft lambswool yarns and keeps on insulating, even when wet.']",[],[],"['Our traditional ragg wool hat is thickly knit from soft lambswool yarns and keeps on insulating, even when wet.', 'Fabric & Care', 'Lined with soft polyester microfleece.', '100% Lambswool.', 'Handwash, dry flat.', 'Imported.', 'Questions?', 'Chat with an Expert']",['252063'],Ragg Wool Hat,https://www.llbean.com/llb/shop/56488?page=ragg-wool-hat&bc=516720-510024&feat=510024-gn3&csp=a,Headwear
['White'],"['Tougher and more resilient than treated wood, the HDPE (High Density Polyethylene) used to build this coffee table is made partially from recycled materials. Heavy enough to withstand winds and unaffected by wet weather and extreme temperatures, this table will stay in place without rotting, warping, cracking, splintering or ever needing to be painted – even if you leave it outside all year round.']","['Spend more time relaxing outside with our low-maintenance All-Weather coffee table. Like all of our All-Weather furniture, it won’t chip, peel, warp or crack.']",[],[],"['Spend more time relaxing outside with our low-maintenance All-Weather coffee table. Like all of our All-Weather furniture, it won’t chip, peel, warp or crack.', 'Specs', 'Overall: 17""H x 36""W x 22¼""D.', 'Why We Love It', 'Tougher and more resilient than treated wood, the HDPE (High Density Polyethylene) used to build this coffee table is made partially from recycled materials. Heavy enough to withstand winds and unaffected by wet weather and extreme temperatures, this table will stay in place without rotting, warping, cracking, splintering or ever needing to be painted – even if you leave it outside all year round.', 'Construction', 'Made of ecofriendly, partially recycled HDPE (high-density polyethylene).', 'Marine-grade quality, rust-resistant coated stainless-steel hardware.', 'Arrives fully assembled; no assembly required.', 'Additional Features', 'Tougher and more durable than treated wood for years of outdoor enjoyment.', 'Solid, heavy-duty construction withstands nature’s elements.', 'Will not rot, warp, crack, splinter, absorb moisture or ever need painting.', 'Easy to clean with soap and water.', 'Pair with any of our All-Weather products for a timeless, functional outdoor entertainment area.', 'USA.', 'Questions?', 'Chat with an Expert', 'Assembly Instructions']",['304745'],All-Weather Patio Coffee Table,https://www.llbean.com/llb/shop/116775?page=all-weather-patio-coffee-table&bc=31-132-515463&feat=515463-gn2&csp=f&attrvalue_0=white,Tables
"['Clay', 'Dusty Sage']",[],"['This sun-blocking baseball hat features a rear flap for extra coverage. It provides UPF 50+ rated sun protection, the highest possible.']",[],[],"['This sun-blocking baseball hat features a rear flap for extra coverage. It provides UPF 50+ rated sun protection, the highest possible.', 'Fabric & Care', 'Body: 71% nylon, 29% polyester.', 'Mesh: 85% polyester, 15% S.Cafe polyester.', 'Sweatband: 100% polyester.', 'Handwash, line dry.', 'Additional Features', 'Rear flap allows additional protection and can be tucked away when not needed.', ""Elastic cord allows for infinite adjustment for a fit that's always comfortable."", 'Coolmax sweatband wicks away moisture to keep you comfortable in even the hottest of weather.', 'Dark underbrim does not reflect sun.', 'Mesh side panels increase ventilation.', 'Imported.', 'Questions?', 'Chat with an Expert']",['506360'],Tropicwear Baseball Hat,https://www.llbean.com/llb/shop/122097?page=tropicwear-baseball-hat&bc=511742-511747&feat=511747-gn1&csp=a,Headwear
['Mountain Blue Leaf'],[],"[""With four reclining positions and backpack straps for easy carrying, this is the most comfortable and convenient folding beach chair we've ever offered.""]",[],[],"[""With four reclining positions and backpack straps for easy carrying, this is the most comfortable and convenient folding beach chair we've ever offered."", 'Specs', 'Dimensions open: 30.5""H x 26""W x 23""D x 9.5"" seat height.', 'Dimensions packed: 26""H x 27""W x 5""D.', 'Weight: 7.75 lb.', 'Construction', 'Lightweight, strong aluminum frame.', 'Polywood arms resist wear from weather.', 'Additional Features', 'Four recline positions so you can always sit in comfort.', 'Backpack straps for easy transport.', 'Easy to fold and unfold for transport and storage.', 'Imported.', 'Questions?', 'Chat with an Expert']",['506727'],"Backpack Beach Chair, Print",https://www.llbean.com/llb/shop/121954?page=backpack-beach-chair-print&bc=29-516713-9967&feat=9967-gn1&csp=f&attrvalue_0=mountain%20blue%20leaf,Chairs
